,Unnamed: 0,address,owner,value,property_type,property_class,Num_Properties,total_value,link,prop_type_clean,owner_clean,exact_address,location,point
2301,2301,3030 Commercial Ave,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,445000.0,8 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=081032312043,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"3030 Commercial Ave Madison, Wisconsin USA","3030, Commercial Avenue, Eken Park, Madison, Wisconsin, 53704, United States of America","(43.10681877831611, -89.3407720674847, 0.0)"
2298,2298,2829 Moland St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,425000.0,8 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=081032310138,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"2829 Moland St Madison, Wisconsin USA","2829, Moland Street, Eken Park, Madison, Wisconsin, 53704, United States of America","(43.10753771428571, -89.34456214285714, 0.0)"
2297,2297,3324 Milwaukee St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,925000.0,16 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=071005109121,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"3324 Milwaukee St Madison, Wisconsin USA","3324, Milwaukee Street, Schenk-Atwood-Starkweather-Yahara, Madison, Wisconsin, 53714, United States of America","(43.09980442572107, -89.33296673792998, 0.0)"
2296,2296,3320 Milwaukee St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,445000.0,4 unit Apartment,Residential,15,10125700.0,propertydata.cfm?ParcelN=071005109113,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"3320 Milwaukee St Madison, Wisconsin USA","3320, Milwaukee Street, Schenk-Atwood-Starkweather-Yahara, Madison, Wisconsin, 53714, United States of America","(43.099805354767554, -89.33299628160832, 0.0)"
2295,2295,3138 Thorp St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,340000.0,8 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=071005217114,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"3138 Thorp St Madison, Wisconsin USA","3138, Thorp Street, Schenk-Atwood-Starkweather-Yahara, Madison, Wisconsin, 53714, United States of America","(43.099062431277645, -89.33698099299004, 0.0)"
2293,2293,2905 Commercial Ave,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,295600.0,4 unit Apartment,Residential,15,10125700.0,propertydata.cfm?ParcelN=071005203014,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"2905 Commercial Ave Madison, Wisconsin USA","Commercial Avenue, Eken Park, Madison, Wisconsin, 53704, United States of America","(43.1068436, -89.3510211, 0.0)"
2292,2292,2941 Monroe St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,325000.0,2 Unit,Residential,15,10125700.0,propertydata.cfm?ParcelN=070928113102,2 Unit,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"2941 Monroe St Madison, Wisconsin USA","2941, Monroe Street, Dudgeon-Monroe, Madison, Dane, Wisconsin, 53711, United States of America","(43.05536086655883, -89.43146148396976, 0.0)"
2291,2291,2937 Monroe St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,325000.0,2 Unit,Residential,15,10125700.0,propertydata.cfm?ParcelN=070928113095,2 Unit,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"2937 Monroe St Madison, Wisconsin USA","2937, Monroe Street, Dudgeon-Monroe, Madison, Dane, Wisconsin, 53711, United States of America","(43.05538214991912, -89.43142986297731, 0.0)"
2290,2290,2921 Monroe St,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,325000.0,2 Unit,Residential,15,10125700.0,propertydata.cfm?ParcelN=070928113053,2 Unit,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"2921 Monroe St Madison, Wisconsin USA","2921, Monroe Street, Dudgeon-Monroe, Madison, Dane, Wisconsin, 53711, United States of America","(43.05564176948718, -89.43103228386843, 0.0)"
2288,2288,302 Grand Canyon Dr,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,1974000.0,40 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=070824300960,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"302 Grand Canyon Dr Madison, Wisconsin USA","Grand Canyon Apartments, 302, Grand Canyon Drive, Evergreen Office Center, Madison, Dane, Wisconsin, 53705, United States of America","(43.0617841, -89.49746634908979, 0.0)"
76357,76357,44 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9800.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314328,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"44 Oak Grove Dr Madison, Wisconsin USA","44, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.07817843333676, -89.49675435014257, 0.0)"
2302,2302,3034 Commercial Ave,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,445000.0,8 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=081032312051,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"3034 Commercial Ave Madison, Wisconsin USA","3034, Commercial Avenue, Eken Park, Madison, Wisconsin, 53704, United States of America","(43.106819015424925, -89.34073327648267, 0.0)"
2303,2303,709 McCormick Ave,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,1690000.0,32 unit Apartment,Commercial,15,10125700.0,propertydata.cfm?ParcelN=081032312069,Apartment,AUGUSTA REALTY INC  ATTN G SHIMANSKI RLTY INC,"709 McCormick Ave Madison, Wisconsin USA","709, McCormick Avenue, Eken Park, Madison, Wisconsin, 53704, United States of America","(43.10726818051338, -89.34109491170695, 0.0)"
76367,76367,64 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9800.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314427,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"64 Oak Grove Dr Madison, Wisconsin USA","64, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.07810710046349, -89.4974464333794, 0.0)"
76366,76366,62 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9300.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314419,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"62 Oak Grove Dr Madison, Wisconsin USA","62, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.078104670434705, -89.49737628654842, 0.0)"
76365,76365,60 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9800.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314401,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"60 Oak Grove Dr Madison, Wisconsin USA","60, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.07810224040592, -89.49730613971745, 0.0)"
76364,76364,58 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9300.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314394,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"58 Oak Grove Dr Madison, Wisconsin USA","58, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.07809981037713, -89.49723599288647, 0.0)"
76363,76363,56 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9800.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314386,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"56 Oak Grove Dr Madison, Wisconsin USA","56, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.078097380348346, -89.4971658460555, 0.0)"
76361,76361,52 Oak Grove Dr,WOODLANDS LTD PRTNRSHP  % JUN W LEE,9800.0,Condominium,Residential,15,143500.0,propertydata.cfm?ParcelN=070813314360,Apartment,WOODLANDS LTD PRTNRSHP  % JUN W LEE,"52 Oak Grove Dr Madison, Wisconsin USA","52, Oak Grove Drive, Woodlands Condominiums, Madison, Dane, Wisconsin, 53717, United States of America","(43.07810934175139, -89.49702638158962, 0.0)"
